zone,vsh_cutoff,n_wells,net_thickness_total,gross_thickness_total,kh_total,ntg_mean,avg_perm_kh_weighted_mean,ntg_field
A,0.300000,7,110.900000,739.700000,99736.686130,0.150319,896.520559,0.149926
A,0.350000,7,181.500000,739.700000,141923.473040,0.243921,781.275463,0.245370
A,0.400000,7,271.300000,739.700000,189323.889610,0.363830,697.855121,0.366770
A,0.450000,7,369.400000,739.700000,233233.214470,0.498399,629.518415,0.499392
A,0.500000,7,466.000000,739.700000,267427.851670,0.631016,572.368210,0.629985
A,0.550000,7,547.300000,739.700000,291965.649470,0.741823,530.729268,0.739895
A,0.600000,7,612.700000,739.700000,307779.750050,0.827727,500.793625,0.828309
A,0.650000,7,661.300000,739.700000,318307.657510,0.892478,480.046842,0.894011
A,0.700000,7,694.900000,739.700000,323992.901510,0.936926,465.080997,0.939435
B,0.300000,7,607.800000,765.300000,9115642.710080,0.792538,14997.646469,0.794198
B,0.350000,7,670.400000,765.300000,10054318.221700,0.876126,14997.313031,0.875996
B,0.400000,7,697.500000,765.300000,10460818.221700,0.911623,14997.418138,0.911407
B,0.450000,7,707.300000,765.300000,10607818.221700,0.924362,14997.472154,0.924213
B,0.500000,7,711.900000,765.300000,10676694.607100,0.930710,14997.294822,0.930223
B,0.550000,7,712.100000,765.300000,10679694.607100,0.930878,14997.295103,0.930485
B,0.600000,7,712.100000,765.300000,10679694.607100,0.930878,14997.295103,0.930485
B,0.650000,7,712.100000,765.300000,10679694.607100,0.930878,14997.295103,0.930485
B,0.700000,7,712.100000,765.300000,10679694.607100,0.930878,14997.295103,0.930485
C,0.300000,7,416.500000,1094.300000,443400.910920,0.380365,1064.401179,0.380609
C,0.350000,7,561.200000,1094.300000,540132.054650,0.512137,962.725670,0.512839
C,0.400000,7,694.200000,1094.300000,605311.840370,0.636241,870.233342,0.634378
C,0.450000,7,822.000000,1094.300000,650201.232780,0.753218,788.644465,0.751165
C,0.500000,7,915.000000,1094.300000,679837.021680,0.836140,742.944654,0.836151
C,0.550000,7,965.600000,1094.300000,692039.938020,0.881537,717.303843,0.882391
C,0.600000,7,1001.800000,1094.300000,700788.665360,0.914640,700.130853,0.915471
C,0.650000,7,1020.300000,1094.300000,705416.434300,0.931460,691.991578,0.932377
C,0.700000,7,1030.700000,1094.300000,707014.354090,0.941171,686.383787,0.941881
D,0.300000,7,4.200000,513.300000,6.214600,0.006231,1.491418,0.008182
D,0.350000,7,8.400000,513.300000,8.976360,0.018039,0.932793,0.016365
D,0.400000,7,17.100000,513.300000,15.120330,0.033518,0.777502,0.033314
D,0.450000,7,31.800000,513.300000,26.711610,0.064056,0.793021,0.061952
D,0.500000,7,52.900000,513.300000,41.738670,0.103825,0.787308,0.103059
D,0.550000,7,85.100000,513.300000,61.024660,0.158146,0.729552,0.165790
D,0.600000,7,110.600000,513.300000,80.328150,0.202983,0.724282,0.215469
D,0.650000,7,132.300000,513.300000,93.606790,0.252883,0.684553,0.257744
D,0.700000,7,147.700000,513.300000,107.603510,0.280251,0.701354,0.287746
E,0.300000,7,265.500000,839.100000,796199.274310,0.317550,2990.093949,0.316410
E,0.350000,7,343.300000,839.100000,923122.687080,0.408369,2687.070715,0.409129
E,0.400000,7,430.500000,839.100000,1040393.359060,0.511926,2414.989684,0.513050
E,0.450000,7,508.500000,839.100000,1124631.172280,0.605330,2207.811602,0.606006
E,0.500000,7,586.800000,839.100000,1201733.147760,0.698822,2045.449316,0.699321
E,0.550000,7,646.200000,839.100000,1250654.227940,0.769472,1934.300314,0.770111
E,0.600000,7,689.000000,839.100000,1283011.644760,0.819850,1862.045111,0.821118
E,0.650000,7,720.400000,839.100000,1300523.025490,0.857210,1804.391501,0.858539
E,0.700000,7,742.500000,839.100000,1312647.010270,0.883779,1766.216869,0.884877
